NODE,ISO,NodeType,PricingType,State,County,AvgPrice,MaxPrice,MinPrice,AvgCongestion,MaxCongestion,MinCongestion
AG_LNODER3A,CAISO,NODE,Real Time,AZ,Maricopa,37.070964,21859.60442,-325.20492,1.519619,983.184812,-713.013547
AGATEBAY_7_GNODE1,CAISO,NODE,Real Time,,,27.784513,21488.00621,-163.878582,-9.334524,247.754815,-956.966935
AGER_LNODE35,CAISO,NODE,Real Time,CA,Siskiyou,25.665644,20128.03226,-152.348805,-9.320648,247.754815,-956.966935
AGNESSAV_LNODE90,CAISO,NODE,Real Time,OR,Josephine,26.068618,20391.53394,-152.968117,-9.329442,247.754815,-956.966935
AGNEW_1_N003,CAISO,NODE,Real Time,CA,Alameda,38.312934,22913.45758,-23.90021,-0.32539,435.614425,-246.118312
AGNEW_6_N001,CAISO,NODE,Real Time,,,37.970947,23154.04865,-23.86193,-0.729601,287.2738,-246.118312
AGNEW_6_N002,CAISO,NODE,Real Time,,,37.970947,23154.04865,-23.86193,-0.729601,287.2738,-246.118312
AGRCJCT_6_B1,CAISO,NODE,Real Time,,,37.018286,21957.55535,-68.57555,-1.104311,267.52873,-271.502715
AGRICO_6_PL3N5-APND,CAISO,NODE,Real Time,,,37.011237,21957.55535,-68.57555,-1.104311,267.52873,-271.502715
AGRICO_7_B1,CAISO,NODE,Real Time,,,37.011237,21957.55535,-68.57555,-1.104311,267.52873,-271.502715
AGRICO_7_B3,CAISO,NODE,Real Time,,,37.011237,21957.55535,-68.57555,-1.104311,267.52873,-271.502715
AGRICO_7_B4,CAISO,NODE,Real Time,,,37.011237,21957.55535,-68.57555,-1.104311,267.52873,-271.502715
AGRICO_7_UNIT-APND,CAISO,NODE,Real Time,,,37.011237,21957.55535,-68.57555,-1.104311,267.52873,-271.502715
AGRILINK_6_N001,CAISO,NODE,Real Time,,,36.891852,22780.38264,-39.741812,-1.746988,341.16372,-257.155012
AGRIUM_LNODED1,CAISO,NODE,Real Time,,,29.029673,19743.66919,-30.562656,-4.837199,517.413792,-954.8383
AGUAFRWC_GNODEU4,CAISO,NODE,Real Time,,,37.681115,21590.99341,-72.629555,-1.406165,19.782787,-158.299545
AGUAFRWC_GNODEU5,CAISO,NODE,Real Time,,,35.635275,21584.54687,-124.75708,-3.095229,20.01609,-235.60463
AGUAFRWC_GNODEU6,CAISO,NODE,Real Time,,,35.635275,21584.54687,-124.75708,-3.095229,20.01609,-235.60463
AGUAMNSA_7_B1,CAISO,NODE,Real Time,CA,San Bernardino,39.808956,22169.24931,-31.167042,2.217078,309.955877,-133.771367
AGUCALG1_7_B1,CAISO,NODE,Real Time,,,35.036087,21429.94695,-73.735525,-0.987144,194.245845,-123.96353
AIC TAP_LNODEAIC,CAISO,NODE,Real Time,AZ,Pima,37.39382,22786.13021,-310.869937,1.284816,983.031145,-713.013547
AIR_LNODEXF2,CAISO,NODE,Real Time,WA,Thurston,26.237921,20134.43378,-323.174915,-8.497156,624.252232,-956.967035
AIRPORT_LNODE06,CAISO,NODE,Real Time,NV,Washoe,39.749596,20516.0053,-842.44125,5.370898,1015.853462,-901.562742
AIRPORT_LNODE42,CAISO,NODE,Real Time,NV,Washoe,39.831897,20554.7101,-842.30324,5.370898,1015.853462,-901.562742
AIRPORT_LNODE65,CAISO,NODE,Real Time,NV,Washoe,39.831897,20554.7101,-842.30324,5.370898,1015.853462,-901.562742
AIRPORT_LNODE66,CAISO,NODE,Real Time,NV,Washoe,39.749596,20516.0053,-842.44125,5.370898,1015.853462,-901.562742
AIRPORT_LNODE67,CAISO,NODE,Real Time,NV,Washoe,39.749596,20516.0053,-842.44125,5.370898,1015.853462,-901.562742
AIRPORT_LNODE69,CAISO,NODE,Real Time,NV,Washoe,39.831897,20554.7101,-842.30324,5.370898,1015.853462,-901.562742
AIRPORT_LNODE82,CAISO,NODE,Real Time,NV,Washoe,39.831897,20554.7101,-842.30324,5.370898,1015.853462,-901.562742
AIRPORT_LNODE83,CAISO,NODE,Real Time,NV,Washoe,39.749611,20516.0053,-842.44125,5.370898,1015.853462,-901.562742
AIRPROD_1_N001,CAISO,NODE,Real Time,CA,Fresno,39.185523,21943.84427,-54.434702,0.648035,1622.693145,-273.710055
AIRWAYS_1_N001,CAISO,NODE,Real Time,,,39.47959,22036.37205,-61.945925,0.70668,1619.45087,-272.606382
AIRWAYS_1_N004,CAISO,NODE,Real Time,,,39.629851,22047.04075,-61.040607,0.773607,1619.013937,-272.606382
AJ_LNODEMR2,CAISO,NODE,Real Time,AZ,Pima,37.010196,22403.01531,-312.361575,1.284816,983.031145,-713.013547
AL_LNODER1A,CAISO,NODE,Real Time,AZ,Maricopa,36.846668,22061.69907,-317.18633,1.301154,983.13359,-713.013547
AL_LNODER3A,CAISO,NODE,Real Time,AZ,Maricopa,36.846668,22061.69907,-317.18633,1.301154,983.13359,-713.013547
ALAMITOS_2_N001,CAISO,NODE,Real Time,CA,Los Angeles,45.517302,22659.36417,-26.336492,7.366047,1240.80475,-119.84325
ALAMITOS_2_N040,CAISO,NODE,Real Time,CA,Los Angeles,45.517302,22659.36417,-26.336492,7.366047,1240.80475,-119.84325
ALAMOGCP_GNODEN,CAISO,NODE,Real Time,,,35.085128,20909.90181,-111.176562,-2.870853,14.766815,-222.024115
ALAMOGCP_GNODES,CAISO,NODE,Real Time,,,35.085363,20909.87722,-111.176562,-2.870853,14.766815,-222.024115
ALAMOSC_7_N001,CAISO,NODE,Real Time,CA,Sacramento,37.87956,20938.21869,-18.050077,1.446709,220.369265,-151.317197
ALAMT1G_7_B1,CAISO,NODE,Real Time,CA,Los Angeles,45.517025,22659.36417,-26.336492,7.366047,1240.80475,-119.84325
ALAMT1G_7_N002,CAISO,NODE,Real Time,CA,Los Angeles,45.517025,22659.36417,-26.336492,7.366047,1240.80475,-119.84325
ALAMT2G_7_B1,CAISO,NODE,Real Time,CA,Los Angeles,45.516612,22659.36417,-26.336492,7.366047,1240.80475,-119.84325
ALAMT2G_7_N002,CAISO,NODE,Real Time,CA,Los Angeles,45.516612,22659.36417,-26.336492,7.366047,1240.80475,-119.84325
ALAMT3G_7_B1,CAISO,NODE,Real Time,CA,Los Angeles,45.515052,22652.94277,-26.336492,7.366047,1240.80475,-119.84325
ALAMT3G_7_N002,CAISO,NODE,Real Time,CA,Los Angeles,45.515052,22652.94277,-26.336492,7.366047,1240.80475,-119.84325
ALAMT4G_7_B1,CAISO,NODE,Real Time,CA,Los Angeles,45.516026,22659.36417,-26.336492,7.366047,1240.80475,-119.84325
ALAMT4G_7_N002,CAISO,NODE,Real Time,CA,Los Angeles,45.516026,22659.36417,-26.336492,7.366047,1240.80475,-119.84325
ALAMT5G_7_B1,CAISO,NODE,Real Time,CA,Los Angeles,45.352441,22659.36417,-26.336492,7.214588,989.616882,-119.84325
ALAMT5G_7_N002,CAISO,NODE,Real Time,CA,Los Angeles,45.352441,22659.36417,-26.336492,7.214588,989.616882,-119.84325
ALAMT6G_7_B1,CAISO,NODE,Real Time,CA,Los Angeles,45.472394,22659.36417,-26.336492,7.332664,1240.80475,-119.84325
ALAMT6G_7_N002,CAISO,NODE,Real Time,CA,Los Angeles,45.472394,22659.36417,-26.336492,7.332664,1240.80475,-119.84325
ALBINA_LNODED1,CAISO,NODE,Real Time,OR,Multnomah,25.804924,20302.29845,-153.382242,-9.280543,247.754815,-956.966935
ALBINA_LNODED2,CAISO,NODE,Real Time,OR,Multnomah,25.772668,20272.54949,-153.273872,-9.28054,247.754815,-956.966935
ALDERWOO_LNODE70,CAISO,NODE,Real Time,OR,Multnomah,25.885862,20436.1649,-151.807027,-9.282684,247.754815,-956.966935
ALDERWOO_LNODE96,CAISO,NODE,Real Time,OR,Multnomah,25.885862,20436.1649,-151.807027,-9.282684,247.754815,-956.966935
ALG_LNODEXF1,CAISO,NODE,Real Time,WA,Skagit,26.351639,20221.5411,-323.11114,-8.480354,624.252232,-956.967035
ALHAMBRA_1_N001,CAISO,NODE,Real Time,CA,Contra Costa,36.917299,22924.29952,-176.984597,-1.30489,144.819755,-242.434077
ALHAMBRA_1_N002,CAISO,NODE,Real Time,CA,Contra Costa,36.917299,22924.29952,-176.984597,-1.30489,144.819755,-242.434077
